"SourceName","TargetName","Weight"
"okay","way","0.0125"
"way","okay","0.025"
"okay","buy","0.0125"
"buy","okay","0.1375"
"stale","day","0.0125"
"day","stale","0.0125"
"stale","arrive","0.0125"
"arrive","stale","0.0625"
"stale","bag","0.0125"
"bag","stale","0.0875"
"stale","eat","0.0125"
"eat","stale","0.1"
"day","arrive","0.0125"
"arrive","day","0.0625"
"day","bag","0.0125"
"bag","day","0.0875"
"day","eat","0.0125"
"eat","day","0.1"
"red","plan","0.0125"
"plan","red","0.0125"
"red","chewy","0.0125"
"chewy","red","0.0375"
"red","candy","0.0125"
"candy","red","0.1"
"red","buy","0.0125"
"buy","red","0.1375"
"red","flavor","0.0125"
"flavor","red","0.175"
"plan","chewy","0.0125"
"chewy","plan","0.0375"
"plan","candy","0.0125"
"candy","plan","0.1"
"plan","buy","0.0125"
"buy","plan","0.1375"
"plan","flavor","0.0125"
"flavor","plan","0.175"
"craving","watcher","0.0125"
"watcher","craving","0.0125"
"craving","weight","0.0125"
"weight","craving","0.025"
"craving","cut","0.0125"
"cut","craving","0.0375"
"craving","candy","0.0125"
"candy","craving","0.1"
"craving","love","0.0125"
"love","craving","0.125"
"watcher","weight","0.0125"
"weight","watcher","0.025"
"watcher","cut","0.0125"
"cut","watcher","0.0375"
"watcher","candy","0.0125"
"candy","watcher","0.1"
"watcher","love","0.0125"
"love","watcher","0.125"
"spicy","doubt","0.0125"
"doubt","spicy","0.0125"
"spicy","texas","0.0125"
"texas","spicy","0.0125"
"spicy","habanero","0.0125"
"habanero","spicy","0.0125"
"spicy","notch","0.0125"
"notch","spicy","0.0125"
"spicy","south","0.0125"
"south","spicy","0.025"
"spicy","food","0.0125"
"food","spicy","0.075"
"oaker","differce","0.0125"
"differce","oaker","0.0125"
"oaker","oats","0.0125"
"oats","oaker","0.025"
"oaker","mushy","0.0125"
"mushy","oaker","0.0375"
"oaker","brand","0.0125"
"brand","oaker","0.05"
"oaker","flavor","0.0125"
"flavor","oaker","0.175"
"oaker","good","0.0125"
"good","oaker","0.225"
"doubt","texas","0.0125"
"texas","doubt","0.0125"
"doubt","habanero","0.0125"
"habanero","doubt","0.0125"
"doubt","notch","0.0125"
"notch","doubt","0.0125"
"doubt","south","0.0125"
"south","doubt","0.025"
"doubt","food","0.0125"
"food","doubt","0.075"
"satisfied","share","0.0125"
"share","satisfied","0.025"
"satisfied","definitely","0.0125"
"definitely","satisfied","0.025"
"satisfied","enjoy","0.0125"
"enjoy","satisfied","0.05"
"satisfied","twizzler","0.0125"
"twizzler","satisfied","0.05"
"satisfied","purchase","0.0125"
"purchase","satisfied","0.0875"
"satisfied","order","0.0125"
"order","satisfied","0.1125"
