title,Women's Mules & Clogs1,Women's Mules & Clogs2,Men's Mules & Clogs1,Men's Mules & Clogs2,women1,women2,men1,men2
"Crocs Unisex Men's and Women's Classic Clog, Red, 11 US",12,68,73,26,30,5,323,2788
"Crocs Unisex-Adult Men's and Women's Classic Clog, Bijou Blue, 7",20,106,63,18,6,35,743,3309
"Hanes Men's EcoSmart Sweatshirt, ash, Small",16,25,13,37,66,76,54,43
"Crocs Unisex Men's and Women's Classic Clog, Ocean/Citrus, 9 US",34,37,404,38,10,23,1659,5076
"Crocs Unisex Men's and Women's Classic Clog, Red, 15 US",21,153,134,63,41,6,1391,5454
"Crocs Unisex Men's and Women's Classic Clog, Lemon, 12 US",213,283,151,112,7,1839,5,991
"Crocs Unisex Men's and Women's Classic Clog, Evergreen, 7 US",28,110,77,55,19,9,580,4126
"Crocs Unisex Men's and Women's Classic Clog, Neon Purple, 9 US",34,17,23,209,14,487,1613,611
"Crocs Unisex Men's and Women's Classic Clog, Yellow, 8 US",19,146,64,75,7,3,904,4220
"Crocs Unisex Men's and Women's Classic Clog, Powder Blue, 5 US",38,62,37,339,6769,15,3562,3821
"Crocs Unisex Men's and Women's Classic Clog, Neon Purple, 6 US",36,11,22,238,46,19,1361,14
"Crocs Unisex Men's and Women's Classic Clog, Pepper, 16 US",1,2,266,124,15,6,12,16
"Crocs Unisex Men's and Women's Classic Clog, Lemon, 5 US",10,7,170,268,4,17,21,68
"Crocs Unisex Men's and Women's Classic Clog, Lemon, 9 US",88,23,56,47,12,136,31,4418
"Crocs Unisex Men's and Women's Classic Clog, Pepper, 15 US",33,25,235,30,148,7,797,174
"Hanes Men's EcoSmart Sweatshirt, Deep Royal, XL",20,24,14,19,8,23,84,30
"Hanes Men's EcoSmart Sweatshirt, Deep Royal, Small",11,17,22,17,20,47,53,32
"Crocs Unisex Men's and Women's Classic Clog, Electric Pink, 14 US",22,330,379,157,21,10,68,18
"Crocs Unisex Men's and Women's Classic Clog, Electric Pink, 10 US",69,28,124,149,39,10,197,55
"Hanes Men's EcoSmart Sweatshirt, Black, 2XL",9,20,28,17,9,46,66,29
"Hanes Men's EcoSmart Sweatshirt, Light Steel, Large",13,15,11,7,10,41,61,33
"Crocs Unisex Men's and Women's Classic Clog, Neo Mint, 13 US",41,16,43,168,16,8,492,19
"Crocs Unisex Men's and Women's Classic Clog, Fresco, 14 US",1,3,88,42,15,25,19,23
"Crocs Unisex Men's and Women's Classic Clog, Pink Lemonade, 5 US",72,30,39,15,35,1977,380,1398
"Crocs Unisex Men's and Women's Classic Clog, Black, 19 US",41,1,28,295,483,10,336,17
"Hanes Men's Ecosmart Sweatshirt, Deep Red, 2XL",12,17,6,12,10,40,73,44
"Crocs Unisex-Adult Men's and Women's Classic Clog, Chocolate, 10",151,11,174,74,69,4,23,451
"Crocs Unisex Men's and Women's Classic Clog, Pistachio, 12 US",1,2,4,22,19,7,19,21
"Crocs Unisex Men's and Women's Classic Clog, Pomegranate, 8 US",34,64,81,63,4,15,1328,5395
"Crocs Unisex Men's and Women's Classic Clog, Slate Grey, 4 US",639,371,291,251,13,6,23,10
"Crocs Unisex Men's and Women's Classic Clog, Deep Green, 10 US",57,133,131,137,15,9,641,18
crocs Women's Classic Mule Slate Grey - 8 US Men/ 10 US Women M US,52,26,31,51,19,11,3993,109
"Hanes Men's EcoSmart Sweatshirt, safety orange, XL",12,22,67,12,7,22,77,44
"Hanes Men's EcoSmart Sweatshirt, Light Blue, 3XL",13,17,7,22,9,13,60,33
"Hanes Men's EcoSmart Sweatshirt, safety orange, 4XL",11,10,79,38,69,52,44,49
"Crocs Unisex Men's and Women's Classic Clog, Digital Aqua, 3 US",1,8,131,37,7,4,23,34
"Crocs Unisex Men's and Women's Classic Clog, Army Green, 17 US",179,146,429,129,18,7,556,305
"Crocs Unisex Men's and Women's Classic Clog, Lime Zest, 6 US",1,2,31,24,15,8,14,12
"Crocs Unisex Men's and Women's Classic Clog, White, 5 US",356,165,3,1,23,14,24,20
"Crocs Unisex Men's and Women's Classic Clog, Digital Aqua, 2 US",1,2,89,54,15,6,55,22
"Crocs Unisex Men's and Women's Classic Clog, Neon Purple, 5 US",3,1,221,3,35,8,29,8
"Crocs Unisex Men's and Women's Classic Clog, Pepper, 17 US",2,8,301,258,23,6,35,68
"Crocs Unisex Men's and Women's Classic Clog, Banana, 13 US",46,53,339,106,4915,11,3688,2674
"Crocs Unisex Men's and Women's Classic Clog, Cobblestone, 10 US",69,75,275,68,17,42,1946,5630
"Crocs Unisex Men's and Women's Classic Clog, Banana, 14 US",34,40,339,386,4749,7,2609,1913
"Crocs Unisex Men's and Women's Classic Clog, Yellow, 14 US",34,44,24,74,1,2,13,4
"Crocs Unisex-Adult Men's and Women's Classic Clog, Lime, 9",26,38,46,63,129,23,909,2667
