"","text","favorited","favoriteCount","created","truncated","id","retweetCount","isRetweet","retweeted","RETWEETHOT"
"1","my laptop is overheating maybe i should stop online shopping for the day  like it’s an addiction i don’t even buy t… https://t.co/ynK7cvH9me",FALSE,1,2021-10-10 02:21:54,TRUE,"1447024562890104832",0,FALSE,FALSE,"none"
"2","@nataliesurely You're both right. We actually have a jobs shortage and an over abundance of available labor. We alw… https://t.co/Kzs1baWrFe",FALSE,0,2021-10-10 02:21:41,TRUE,"1447024507055575045",0,FALSE,FALSE,"none"
"3","#bags <U+0001F60E>Floral Women blazer Jacket With Belt Wide Leg Pant Suit Set Women office blazer coat ladies blazer Outwear F… https://t.co/6yxl1wuAkw",FALSE,0,2021-10-10 02:21:30,TRUE,"1447024460234510340",0,FALSE,FALSE,"none"
"4","had a dream that there was a discord channel called ‘@girls’ and we all just play games together and talk about onl… https://t.co/SqZYxJ5tno",FALSE,0,2021-10-10 02:19:19,TRUE,"1447023910386421762",0,FALSE,FALSE,"none"
"5","RT @RollingStone: Justin Bieber's new documentary 'Our World' is out today and streaming exclusively on Amazon. Here's how to watch the fil…",FALSE,0,2021-10-10 02:18:48,FALSE,"1447023780467986436",143,TRUE,FALSE,"some"
"6","#online #tumblr #twitter #facebook #instagram #dogecoin #socialmedia #pinterest #doge #deal #gift #gifts #giftideas… https://t.co/B6usVSzocq",FALSE,0,2021-10-10 02:18:16,TRUE,"1447023647340826627",0,FALSE,FALSE,"none"
"7","RT @LocatorDude: @tongaja87 Indaba, My Children: African Tribal History, Legends, Customs And Religious Beliefs Book - (may have to be purc…",FALSE,0,2021-10-10 02:18:01,FALSE,"1447023585122471939",2,TRUE,FALSE,"little"
"8","RT @skxnnyarchive: imagine this being ur only concern when shopping online https://t.co/ywR3mSvEQR",FALSE,0,2021-10-10 02:18:01,FALSE,"1447023582152994820",11,TRUE,FALSE,"little"
"9","@MindaHarts So we still doing this lol <U+0001F606> you funny. Like Nicki said I look like ""yes"" and you like ""no"" lol <U+0001F602> 

I h… https://t.co/cfi2ihzZrI",FALSE,0,2021-10-10 02:17:45,TRUE,"1447023515190894595",0,FALSE,FALSE,"none"
"10","Made myself sad just looking at storage on kmart online . I miss shopping. Also I wanna organise a house",FALSE,0,2021-10-10 02:16:50,FALSE,"1447023286919974912",0,FALSE,FALSE,"none"
"11","RT @ColleenDoran: And the prelim for the @neilhimself initial page, with final art. CHIVALRY coming from @DarkHorseComics Diamond retailer…",FALSE,0,2021-10-10 02:16:21,FALSE,"1447023163154604034",6,TRUE,FALSE,"little"
"12","online window shopping to calm my anxiety",FALSE,2,2021-10-10 02:16:02,FALSE,"1447023084330840064",0,FALSE,FALSE,"none"
"13","#NowPlaying : I See You by Rayvon, Sugar Bear Listen online at https://t.co/T7Sx1Ck34v ...The Best Mix in Mainstrea… https://t.co/xYa9NOJ7la",FALSE,0,2021-10-10 02:15:20,TRUE,"1447022909407567873",0,FALSE,FALSE,"none"
"14","yeaaa I think I got to the point where online shopping will be a thing again <U+0001F62D>",FALSE,0,2021-10-10 02:14:37,FALSE,"1447022730302394368",0,FALSE,FALSE,"none"
"15","@WSJ Yes, it's happening in Australia with PS5, market price starts at $599 but all legitimate retail is out of sto… https://t.co/yR30AbaDAt",FALSE,0,2021-10-10 02:14:03,TRUE,"1447022584776708099",0,FALSE,FALSE,"none"
"16","Are you a frequent shopper on Shopee? Here's an easy way to calculate how much you've spent in total on the eCommer… https://t.co/u608nhG0OC",FALSE,1,2021-10-10 02:13:50,TRUE,"1447022532440346627",0,FALSE,FALSE,"none"
"17","RT @DoKomi: New #VTuber guests at #DigiKomi x Amazon Online convention:

Adorable sharky @gawrgura and wholesome priestess @ninomaeinanis j…",FALSE,0,2021-10-10 02:13:16,FALSE,"1447022388172902401",800,TRUE,FALSE,"many"
"18","RT @Liberation_75: Unacceptable <U+2066>@amazon! Amazon strikes book deal with Neo-Nazi ex-BNP leader who denies the Holocaust | Daily Mail Online…",FALSE,0,2021-10-10 02:13:07,FALSE,"1447022351237877761",4,TRUE,FALSE,"little"
"19","RT @hanjimallow: special delivery.

seungjin filo au

sho, a guy who doesn't know how online shopping works suddenly received a parcel that…",FALSE,0,2021-10-10 02:13:04,FALSE,"1447022337656713219",200,TRUE,FALSE,"some"
"20","RT @RollingStone: Justin Bieber's new documentary 'Our World' is out today and streaming exclusively on Amazon. Here's how to watch the fil…",FALSE,0,2021-10-10 02:12:43,FALSE,"1447022248863354884",143,TRUE,FALSE,"some"
"21","@CandaceLatham1 @jjhorgan @adriandix @Fraserhealth Not just #Costco. People are coughing and snorking everywhere. T… https://t.co/cVz4npqXbZ",FALSE,0,2021-10-10 02:12:38,TRUE,"1447022227602300931",0,FALSE,FALSE,"none"
