text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
RT @hecraveskay: I wanna go online shopping with someone else’s card,FALSE,0,NA,9/26/2021 1:50,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",BflyyJazz,20623,TRUE,FALSE,NA,NA,
@EerieGentleman \Mind you there are quite a bit of online outlets sites in which you can do your shopping,FALSE,0,EerieGentleman,9/26/2021 1:48,TRUE,1.44E+18,1.44E+18,1.43E+18,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",VAMPIRICALLURE,0,FALSE,FALSE,NA,NA,
RT @hecraveskay: I wanna go online shopping with someone else’s card,FALSE,0,NA,9/26/2021 1:47,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",x_ShesJasmin,20623,TRUE,FALSE,NA,NA,
"Two blog posts built <U+2713>
Laundry all done <U+2713>
Decluttered supplies <U+2713>
Baked pumpkin bread <U+2713>
Completed online training <U+2713>?https://t.co/6MZYki3NCg",FALSE,0,NA,9/26/2021 1:47,TRUE,NA,1.44E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",chocoandpaper,0,FALSE,FALSE,NA,NA,
RT @hecraveskay: I wanna go online shopping with someone else’s card,FALSE,0,NA,9/26/2021 1:46,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",emakpakustaz,20623,TRUE,FALSE,NA,NA,
my problem is i get bored and start online shopping,FALSE,1,NA,9/26/2021 1:45,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",nanceee_n,0,FALSE,FALSE,NA,NA,
#NOWPLAYING :  Twist And Turn ft Drake &amp; PartyNextDoor by @PopcaanMusic Listen online at https://t.co/T7Sx1Ck34v ..?https://t.co/wbUJBNRAw5,FALSE,0,NA,9/26/2021 1:45,TRUE,NA,1.44E+18,NA,"<a href=\https://www.autopo.st\"" rel=\""nofollow\"">autopo.st - platinumvibes8</a>""",platinumvibes8,0,FALSE,FALSE,NA,NA,
@PeterMooney09 @mattswider I work for Target and have spoken with a Sony rep. The online requirement was a Sony rec?https://t.co/VbPwiwiwn8,FALSE,1,PeterMooney09,9/26/2021 1:45,TRUE,1.44E+18,1.44E+18,2278097323,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",freemac85,0,FALSE,FALSE,NA,NA,
RT @hecraveskay: I wanna go online shopping with someone else’s card,FALSE,0,NA,9/26/2021 1:44,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",OgechukwuMgbem1,20623,TRUE,FALSE,NA,NA,
RT @hecraveskay: I wanna go online shopping with someone else’s card,FALSE,0,NA,9/26/2021 1:44,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",celinadevera,20623,TRUE,FALSE,NA,NA,
RT @hecraveskay: I wanna go online shopping with someone else’s card,FALSE,0,NA,9/26/2021 1:44,FALSE,NA,1.44E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",vonnaaaaa_,20623,TRUE,FALSE,NA,NA,
RT @hecraveskay: I wanna go online shopping with someone else’s card,FALSE,0,NA,9/26/2021 1:43,FALSE,NA,1.44E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",alvachulaa,20623,TRUE,FALSE,NA,NA,
"RT @RichardHeartWin: For those of you defending your #stonks or #cryptocurrency. Cheat sheet!
Pyramids require levels with commission.
Ponz?,",FALSE,0,NA,9/26/2021 1:43,FALSE,NA,1.44194E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",0707Lucky7s,56,TRUE,FALSE,NA,NA,
"online shopping <U+0001F495><U+0001F381>
free shipping <U+2708><U+0001F30D><U+0001F680>
https://t.co/wUUeARCt8m <U+0001F495><U+0001F60D><U+0001F495> https://t.co/uHfqv1czWB",FALSE,0,NA,9/26/2021 1:43,FALSE,NA,1.44E+18,NA,"<a href=\https://socialrabbitplugin.com/\"" rel=\""nofollow\"">SocialRabbit Plugin</a>""",theplanetfair,0,FALSE,FALSE,NA,NA,
"RT @catherine___c: Australia Post is still shocked after 18 months that people locked up are online shopping. Get with the program &amp; get mo?,FALSE,0,NA,2021-09-26 01:43:11,FALSE,NA,1441941388023590912""",NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",Ottonemo1,25,TRUE,FALSE,NA,NA,,,,,,,,
