"text" "favorited" "favoriteCount" "replyToSN" "created" "truncated" "replyToSID" "id" "replyToUID" "statusSource" "screenName" "retweetCount" "isRetweet" "retweeted" "longitude" "latitude"
"Acrylic Flower Clutches Purse https://t.co/4lbUb2qhUH 36.64
#fashion, #Ladies, #online, #shopping, #woman, #new,… https://t.co/CrbKtioNVx" FALSE 0 NA 2021-10-03 17:08:01 TRUE NA "1444710844412030986" NA "<a href=\"https://socialrabbitplugin.com/\" rel=\"nofollow\">SocialRabbit Plugin</a>" "crazedealz" 0 FALSE FALSE NA NA
"I actually find online grocery shopping really fun <U+0001F602> I just have to work on not buying things in bulk <U+0001F602>" FALSE 0 NA 2021-10-03 17:07:41 FALSE NA "1444710760601554948" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "xloveamh" 0 FALSE FALSE NA NA
"Shopasar - online shopping platform https://t.co/3diy4GS7Pf" FALSE 0 "Sazan_Mandalawi" 2021-10-03 17:07:37 FALSE "1444710489993486337" "1444710745099341829" "35198530" "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Sazan_Mandalawi" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:07:33 FALSE NA "1444710728250769408" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "meowsteryy" 2556 TRUE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:07:30 FALSE NA "1444710715537846273" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "Cloudsthesky" 2556 TRUE FALSE NA NA
"Light up the world in the Double Stitched 100% Super Combed Cotton Printed Half Sleeve T-shirt. Shop this and more… https://t.co/doCjWjHDul" FALSE 0 NA 2021-10-03 17:07:18 TRUE NA "1444710666393120768" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "spyndell" 0 FALSE FALSE NA NA
"RT @pnso_official: Ta-da, please say hi to Requena the Livyatan, an invincible predator 12 million years ago in the sea. The online sale of…" FALSE 0 NA 2021-10-03 17:07:08 FALSE NA "1444710624592760833" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "1107mrmr" 66 TRUE FALSE NA NA
"shopping online at h&amp;m is an extreme sport it’s like they go out of their way to make every outfit ugly as fuck" FALSE 0 NA 2021-10-03 17:06:59 FALSE NA "1444710585904545795" NA "<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>" "raveeeeha" 0 FALSE FALSE NA NA
"Since you like online shopping, save more by using ShopBack to earn Cashback. Download the app and sign up with my… https://t.co/nnbcPmO2Nc" FALSE 0 NA 2021-10-03 17:06:33 TRUE NA "1444710473698398210" NA "<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>" "princesslhen" 0 FALSE FALSE NA NA
"RT @GenshinImpact: Dear Travelers, the Genshin Impact online concert gift box will be available for pre-order from October 4 12:00 – Octobe…" FALSE 0 NA 2021-10-03 17:06:28 FALSE NA "1444710454488551424" NA "<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>" "bangtanrin2" 2556 TRUE FALSE NA NA
