asin,brand,type,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9
B07H2V5YLH,Ailun,SCREEN_PROTECTOR,0.990318119,0.835195531,0.998327759,1.001675042,0.998327759,1.001675042,0.998327759,1,1.381909548,0.723636364
B01B8R6PF2,Amazon Basics,BATTERY,1.12629108,0.949145477,1,1.005709267,0.989519651,1,1.027360989,1.030498282,1,1
B073H7VJ38,Amazon Basics,PAPER_PRODUCT,0.899916597,1.111214087,0.908256881,0.978879706,1.124765478,0.850708924,0.95,0.986584107,0.874476987,0.874401914
B073H7VJ37,Amazon Basics,PRINT_COPY_PAPER,1.136394635,0.919983997,1.086975429,0.919983997,1.086975429,0.919983997,1.086975429,0.99119824,1.008879919,1
B07NVTGRVZ,Amazon Basics,BATTERY,0.264996203,3.773638968,0.264996203,1.085959885,1.026385224,0.922879177,0.818941504,1.081632653,1.040880503,0.876132931
B073H7XMYW,Amazon Basics,PRINT_COPY_PAPER,1,0.984749455,1.015486726,0.894038423,1.009082853,1.10845225,1,0.973460091,1.023397762,0.980715706
B07WKZQX94,Amazon Basics,BATTERY,0.959837316,1.02595339,1.01600413,1.036077236,0.968612065,1.023291139,0.969816922,1.032142857,0.978250124,0.979787772
B01CE5CQPA,Amazon Basics,BATTERY,1.000570451,0.999429875,0.997718197,1.002287021,0.997718197,1.002287021,0.998859099,1.001142204,,
B07CWD5PX5,Amazon Basics,WASTE_BAG,1.041053922,1.068275456,1.020936639,0.858067998,1.162264151,0.971861472,0.961024499,0.928736964,1.043044292,0.968899522
B018FCZKR2,Amazon Basics,INSTRUMENT_PARTS_AND_ACCESSORIES,0.819778189,1.187147689,0.957264957,1.011904762,1.03627451,0.934720908,1.072874494,0.958490566,0.964566929,0.98877551
B07B4WD3N8,Amazon Basics,PILLOWCASE,0.7997998,1,0.849812265,1.176730486,0.849812265,1.176730486,1,1,1,1
B01FV0F8H8,Amazon Basics,PRINT_COPY_PAPER,1.071530758,1.066755674,0.979974969,0.969348659,1.002635046,1.049934297,0.434292866,2.30259366,0.434292866,2.30259366
