asin,brand,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Label
B07H2V5YLH,Ailun,SCREEN_PROTECTOR,0.990318119,0.835195531,0.998327759,1.001675042,0.998327759,1.001675042,0.998327759,1,1.381909548,0.723636364,1.405360134,0.711561383,1.405360134,0.954707986,0.998751561,1.03125,0.972121212,1,1.001246883,0.95890411,up
B01B8R6PF2,Amazon Basics,BATTERY,1.12629108,0.949145477,1,1.005709267,0.989519651,1,1.027360989,1.030498282,1,1,1,1,1,0.733639016,1.363068182,1,0.867444769,0.878904373,0.990158557,0.95527333,down
B073H7VJ38,Amazon Basics,PAPER_PRODUCT,0.899916597,1.111214087,0.908256881,0.978879706,1.124765478,0.850708924,0.95,0.986584107,0.874476987,0.874401914,0.958960328,0.955777461,1.058208955,0.971791255,0.969521045,0.994011976,0.993975904,0.966666667,0.992163009,0.995260664,down
B073H7VJ37,Amazon Basics,PRINT_COPY_PAPER,1.136394635,0.919983997,1.086975429,0.919983997,1.086975429,0.919983997,1.086975429,0.99119824,1.008879919,1,1,1,1,1.100020004,1.204764503,1.114867925,0.896967235,1.114867925,0.896967235,1.019622642,up
B07NVTGRVZ,Amazon Basics,BATTERY,0.264996203,3.773638968,0.264996203,1.085959885,1.026385224,0.922879177,0.818941504,1.081632653,1.040880503,0.876132931,1.006896552,1.154109589,0.863501484,1.037800687,1.129139073,1.041055718,1.045070423,0.919137466,1.105571848,0.883289125,down
B073H7XMYW,Amazon Basics,PRINT_COPY_PAPER,1,0.984749455,1.015486726,0.894038423,1.009082853,1.10845225,1,0.973460091,1.023397762,0.980715706,1.023515102,0.973460091,1.027263479,1,1,1,1,1,1,1,same
B07WKZQX94,Amazon Basics,BATTERY,0.959837316,1.02595339,1.01600413,1.036077236,0.968612065,1.023291139,0.969816922,1.032142857,0.978250124,0.979787772,1.022692109,0.967221382,0.971324296,1.034889962,1.034232365,0.975927783,0.988180884,1.044201768,0.955677291,1.038561751,up
B01CE5CQPA,Amazon Basics,BATTERY,1.000570451,0.999429875,0.997718197,1.002287021,0.997718197,1.002287021,0.998859099,1.001142204,,,,,,,,,,,,,up
B07CWD5PX5,Amazon Basics,WASTE_BAG,1.041053922,1.068275456,1.020936639,0.858067998,1.162264151,0.971861472,0.961024499,0.928736964,1.043044292,0.968899522,1.148765432,0.851155293,1.049873737,1.099819603,0.926735921,1.037758112,0.902217169,1.102709515,0.946285714,1.024758454,up
B018FCZKR2,Amazon Basics,INSTRUMENT_PARTS_AND_ACCESSORIES,0.819778189,1.187147689,0.957264957,1.011904762,1.03627451,0.934720908,1.072874494,0.958490566,0.964566929,0.98877551,1.340557276,0.919938414,1.087029289,0.923017706,0.916597164,1.178343949,0.922779923,1.083682008,0.836293436,1.191135734,up
B07B4WD3N8,Amazon Basics,PILLOWCASE,0.7997998,1,0.849812265,1.176730486,0.849812265,1.176730486,1,1,1,1,1,1,1,1.125156446,,,,,,,up
B01FV0F8H8,Amazon Basics,PRINT_COPY_PAPER,1.071530758,1.066755674,0.979974969,0.969348659,1.002635046,1.049934297,0.434292866,2.30259366,0.434292866,2.30259366,0.812265332,0.534668721,1.870317003,1.231124807,0.434292866,1.870317003,0.534668721,1.870317003,0.534668721,1.870317003,down
B01BRGU8R0,Amazon Basics,SCISSORS,0.879903923,0.909008189,1.239239239,0.996768982,0.809562399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,down
